YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_AIRPORT_SEQ_ID,DIV1_WHEELS_ON,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV1_WHEELS_OFF,DIV1_TAIL_NUM,DIV2_AIRPORT,DIV2_AIRPORT_ID,DIV2_AIRPORT_SEQ_ID,DIV2_WHEELS_ON,DIV2_TOTAL_GTIME,DIV2_LONGEST_GTIME,DIV2_WHEELS_OFF,DIV2_TAIL_NUM,DIV3_AIRPORT,DIV3_AIRPORT_ID,DIV3_AIRPORT_SEQ_ID,DIV3_WHEELS_ON,DIV3_TOTAL_GTIME,DIV3_LONGEST_GTIME,DIV3_WHEELS_OFF,DIV3_TAIL_NUM,DIV4_AIRPORT,DIV4_AIRPORT_ID,DIV4_AIRPORT_SEQ_ID,DIV4_WHEELS_ON,DIV4_TOTAL_GTIME,DIV4_LONGEST_GTIME,DIV4_WHEELS_OFF,DIV4_TAIL_NUM,DIV5_AIRPORT,DIV5_AIRPORT_ID,DIV5_AIRPORT_SEQ_ID,DIV5_WHEELS_ON,DIV5_TOTAL_GTIME,DIV5_LONGEST_GTIME,DIV5_WHEELS_OFF,DIV5_TAIL_NUM
2021,1,1,11,1,1/11/2021,OO,20304,OO,N264SY,4053,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,1145,1142,-3,0,0,-1,1100-1159,8,1150,1222,7,1249,1229,-20,0,0,-2,1200-1259,0,,0,64,47,32,1,129,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,2,1/5/2021,OO,20304,OO,N247SY,3709,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,730,725,-5,0,0,-1,0700-0759,14,739,1013,10,1035,1023,-12,0,0,-1,1000-1059,0,,0,125,118,94,1,574,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,2,1/5/2021,OO,20304,OO,N656CA,3710,14457,1445702,34457,RAP,"Rapid City, SD",SD,46,South Dakota,67,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,800,757,-3,0,0,-1,0800-0859,24,821,943,12,1006,955,-11,0,0,-1,1000-1059,0,,0,126,118,82,1,508,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,1,1/11/2021,OO,20304,OO,N297SY,4057,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,802,801,-1,0,0,-1,0800-0859,35,836,932,12,944,944,0,0,0,0,0900-0959,0,,0,102,103,56,1,334,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,2,1/5/2021,OO,20304,OO,N262SY,3711,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,2145,2143,-2,0,0,-1,2100-2159,16,2159,2348,4,2353,2352,-1,0,0,-1,2300-2359,0,,0,128,129,109,1,679,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,2,1/5/2021,OO,20304,OO,N809SK,3712,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,14683,1468305,33214,SAT,"San Antonio, TX",TX,48,Texas,74,1955,1955,0,0,0,0,1900-1959,14,2009,2203,3,2239,2206,-33,0,0,-2,2200-2259,0,,0,224,191,174,1,1214,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,1,1/11/2021,OO,20304,OO,N297SY,4057,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,1034,1029,-5,0,0,-1,1000-1059,19,1048,1148,4,1215,1152,-23,0,0,-2,1200-1259,0,,0,101,83,60,1,334,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,2,1/5/2021,OO,20304,OO,N304SY,3713,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,1202,1156,-6,0,0,-1,1200-1259,10,1206,1406,4,1432,1410,-22,0,0,-2,1400-1459,0,,0,90,74,60,1,370,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,2,1/5/2021,OO,20304,OO,N273SY,3714,11603,1160302,31603,EUG,"Eugene, OR",OR,41,Oregon,92,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,1700,1653,-7,0,0,-1,1700-1759,10,1703,1747,8,1820,1755,-25,0,0,-2,1800-1859,0,,0,80,62,44,1,234,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,1,1/11/2021,OO,20304,OO,N240SY,4065,13796,1379608,32457,OAK,"Oakland, CA",CA,6,California,91,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,1030,1026,-4,0,0,-1,1000-1059,9,1035,1307,5,1320,1312,-8,0,0,-1,1300-1359,0,,0,110,106,92,1,588,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
